marker_id	chr	pos_bp	pos_cM
m02_003403	chr02	40520401	40.520401
m02_003404	chr02	40527173	40.527173
m02_003405	chr02	40537643	40.537643
m02_003406	chr02	40538398	40.538398
m02_003407	chr02	40565736	40.565736
m02_003408	chr02	40573397	40.573397
m02_003409	chr02	40583104	40.583104
m02_003410	chr02	40595382	40.595382
m02_003411	chr02	40648277	40.648277
m02_003412	chr02	40648571	40.648571
m02_003413	chr02	40656358	40.656358
m02_003414	chr02	40671295	40.671295
m02_003415	chr02	40673821	40.673821
m02_003416	chr02	40679140	40.67914
m02_003417	chr02	40691174	40.691174
m02_003418	chr02	40697244	40.697244
m02_003419	chr02	40702393	40.702393
m02_003420	chr02	40711450	40.71145
m02_003421	chr02	40720069	40.720069
m02_003422	chr02	40751772	40.751772
m02_003423	chr02	40752650	40.75265
m02_003424	chr02	40774014	40.774014
m02_003425	chr02	40797474	40.797474
m02_003426	chr02	40807639	40.807639
m02_003427	chr02	40808448	40.808448
m02_003428	chr02	40809449	40.809449
m02_003429	chr02	40809747	40.809747
m02_003430	chr02	40816911	40.816911
m02_003431	chr02	40827588	40.827588
m02_003432	chr02	40828664	40.828664
m02_003433	chr02	40833544	40.833544
m02_003434	chr02	40839356	40.839356
m02_003435	chr02	40864862	40.864862
m02_003436	chr02	40884132	40.884132
m02_003437	chr02	40891145	40.891145
m02_003438	chr02	40906129	40.906129
m02_003439	chr02	40941330	40.94133
m02_003440	chr02	40942052	40.942052
m02_003441	chr02	40954418	40.954418
m02_003442	chr02	40976477	40.976477
m02_003443	chr02	40979724	40.979724
m02_003444	chr02	40980048	40.980048
m02_003445	chr02	41023239	41.023239
m02_003446	chr02	41032789	41.032789
m02_003447	chr02	41051489	41.051489
m02_003448	chr02	41055735	41.055735
m02_003449	chr02	41084885	41.084885
m02_003450	chr02	41091162	41.091162
m02_003451	chr02	41108164	41.108164
m02_003452	chr02	41125949	41.125949
m02_003453	chr02	41127052	41.127052
m02_003454	chr02	41150938	41.150938
m02_003455	chr02	41154637	41.154637
m02_003456	chr02	41158606	41.158606
m02_003457	chr02	41167289	41.167289
m02_003458	chr02	41173434	41.173434
m02_003459	chr02	41178929	41.178929
m02_003460	chr02	41181454	41.181454
m02_003461	chr02	41186827	41.186827
m02_003462	chr02	41191054	41.191054
m02_003463	chr02	41213106	41.213106
m02_003464	chr02	41223270	41.22327
m02_003465	chr02	41231287	41.231287
m02_003466	chr02	41239588	41.239588
m02_003467	chr02	41246029	41.246029
m02_003468	chr02	41257413	41.257413
m02_003469	chr02	41262412	41.262412
m02_003470	chr02	41265127	41.265127
m02_003471	chr02	41298037	41.298037
m02_003472	chr02	41311530	41.31153
m02_003473	chr02	41314920	41.31492
m02_003474	chr02	41317610	41.31761
m02_003475	chr02	41319148	41.319148
m02_003476	chr02	41322197	41.322197
m02_003477	chr02	41324490	41.32449
m02_003478	chr02	41330480	41.33048
m02_003479	chr02	41340755	41.340755
m02_003480	chr02	41367539	41.367539
m02_003481	chr02	41376406	41.376406
m02_003482	chr02	41377358	41.377358
m02_003483	chr02	41382452	41.382452
m02_003484	chr02	41384951	41.384951
m02_003485	chr02	41387539	41.387539
m02_003486	chr02	41436399	41.436399
m02_003487	chr02	41447342	41.447342
m02_003488	chr02	41458529	41.458529
m02_003489	chr02	41467149	41.467149
m02_003490	chr02	41475477	41.475477
m02_003491	chr02	41479399	41.479399
m02_003492	chr02	41494528	41.494528
m02_003493	chr02	41535936	41.535936
m02_003494	chr02	41542303	41.542303
m02_003495	chr02	41549479	41.549479
m02_003496	chr02	41550532	41.550532
m02_003497	chr02	41555271	41.555271
m02_003498	chr02	41558274	41.558274
m02_003499	chr02	41571482	41.571482
m02_003500	chr02	41579980	41.57998
m02_003501	chr02	41616933	41.616933
m02_003502	chr02	41619368	41.619368
m02_003503	chr02	41652578	41.652578
m02_003504	chr02	41669589	41.669589
m02_003505	chr02	41701649	41.701649
m02_003506	chr02	41727238	41.727238
m02_003507	chr02	41744528	41.744528
m02_003508	chr02	41753991	41.753991
m02_003509	chr02	41785099	41.785099
m02_003510	chr02	41792661	41.792661
m02_003511	chr02	41796218	41.796218
m02_003512	chr02	41813289	41.813289
m02_003513	chr02	41814911	41.814911
m02_003514	chr02	41846789	41.846789
m02_003515	chr02	41847166	41.847166
m02_003516	chr02	41849229	41.849229
m02_003517	chr02	41862005	41.862005
m02_003518	chr02	41888859	41.888859
m02_003519	chr02	41889267	41.889267
m02_003520	chr02	41912536	41.912536
m02_003521	chr02	41914183	41.914183
m02_003522	chr02	41919337	41.919337
m02_003523	chr02	41936370	41.93637
m02_003524	chr02	41943029	41.943029
m02_003525	chr02	41950697	41.950697
m02_003526	chr02	41963075	41.963075
m02_003527	chr02	41999514	41.999514
m02_003528	chr02	42000158	42.000158
m02_003529	chr02	42005343	42.005343
m02_003530	chr02	42051110	42.05111
m02_003531	chr02	42070848	42.070848
m02_003532	chr02	42075700	42.0757
m02_003533	chr02	42079590	42.07959
m02_003534	chr02	42110979	42.110979
m02_003535	chr02	42131082	42.131082
m02_003536	chr02	42144575	42.144575
m02_003537	chr02	42156675	42.156675
m02_003538	chr02	42174031	42.174031
m02_003539	chr02	42185231	42.185231
m02_003540	chr02	42196925	42.196925
m02_003541	chr02	42212158	42.212158
m02_003542	chr02	42217027	42.217027
m02_003543	chr02	42219089	42.219089
m02_003544	chr02	42228851	42.228851
m02_003545	chr02	42229825	42.229825
m02_003546	chr02	42252340	42.25234
m02_003547	chr02	42254932	42.254932
m02_003548	chr02	42287552	42.287552
m02_003549	chr02	42288800	42.2888
m02_003550	chr02	42293730	42.29373
m02_003551	chr02	42301348	42.301348
m02_003552	chr02	42306151	42.306151
m02_003553	chr02	42308029	42.308029
m02_003554	chr02	42316252	42.316252
m02_003555	chr02	42319621	42.319621
m02_003556	chr02	42346904	42.346904
m02_003557	chr02	42366892	42.366892
m02_003558	chr02	42386605	42.386605
m02_003559	chr02	42394083	42.394083
m02_003560	chr02	42400375	42.400375
m02_003561	chr02	42425243	42.425243
m02_003562	chr02	42438686	42.438686
m02_003563	chr02	42442809	42.442809
m02_003564	chr02	42455859	42.455859
m02_003565	chr02	42472226	42.472226
m02_003566	chr02	42478534	42.478534
m02_003567	chr02	42492382	42.492382
m02_003568	chr02	42510962	42.510962
m02_003569	chr02	42513177	42.513177
m02_003570	chr02	42533264	42.533264
m02_003571	chr02	42534540	42.53454
m02_003572	chr02	42550321	42.550321
m02_003573	chr02	42554689	42.554689
m02_003574	chr02	42563323	42.563323
m02_003575	chr02	42584470	42.58447
m02_003576	chr02	42590080	42.59008
m02_003577	chr02	42611227	42.611227
m02_003578	chr02	42615062	42.615062
m02_003579	chr02	42616735	42.616735
m02_003580	chr02	42631305	42.631305
m02_003581	chr02	42638074	42.638074
m02_003582	chr02	42645404	42.645404
m02_003583	chr02	42649159	42.649159
m02_003584	chr02	42654504	42.654504
m02_003585	chr02	42670405	42.670405
m02_003586	chr02	42683943	42.683943
m02_003587	chr02	42692901	42.692901
m02_003588	chr02	42715262	42.715262
m02_003589	chr02	42723266	42.723266
m02_003590	chr02	42730172	42.730172
m02_003591	chr02	42755450	42.75545
m02_003592	chr02	42764796	42.764796
m02_003593	chr02	42783740	42.78374
m02_003594	chr02	42793928	42.793928
m02_003595	chr02	42796001	42.796001
m02_003596	chr02	42819971	42.819971
m02_003597	chr02	42830656	42.830656
m02_003598	chr02	42841167	42.841167
m02_003599	chr02	42867561	42.867561
m02_003600	chr02	42869824	42.869824
m02_003601	chr02	42886410	42.88641
m02_003602	chr02	42902314	42.902314
m02_003603	chr02	42931645	42.931645
m02_003604	chr02	42958101	42.958101
m02_003605	chr02	42958657	42.958657
m02_003606	chr02	42982305	42.982305
m02_003607	chr02	42983583	42.983583
m02_003608	chr02	42992230	42.99223
m02_003609	chr02	42994578	42.994578
m02_003610	chr02	42998923	42.998923
m02_003611	chr02	43009564	43.009564
m02_003612	chr02	43019098	43.019098
m02_003613	chr02	43029001	43.029001
m02_003614	chr02	43037506	43.037506
m02_003615	chr02	43038754	43.038754
m02_003616	chr02	43047074	43.047074
m02_003617	chr02	43108809	43.108809
m02_003618	chr02	43118357	43.118357
m02_003619	chr02	43138082	43.138082
m02_003620	chr02	43139985	43.139985
m02_003621	chr02	43148041	43.148041
m02_003622	chr02	43151356	43.151356
m02_003623	chr02	43153465	43.153465
m02_003624	chr02	43168979	43.168979
m02_003625	chr02	43177765	43.177765
m02_003626	chr02	43187022	43.187022
m02_003627	chr02	43213145	43.213145
m02_003628	chr02	43214272	43.214272
m02_003629	chr02	43242324	43.242324
m02_003630	chr02	43243841	43.243841
m02_003631	chr02	43247425	43.247425
m02_003632	chr02	43255700	43.2557
m02_003633	chr02	43275672	43.275672
m02_003634	chr02	43286743	43.286743
m02_003635	chr02	43291671	43.291671
m02_003636	chr02	43297622	43.297622
m02_003637	chr02	43302375	43.302375
m02_003638	chr02	43304782	43.304782
m02_003639	chr02	43316598	43.316598
m02_003640	chr02	43319052	43.319052
m02_003641	chr02	43321626	43.321626
m02_003642	chr02	43339397	43.339397
m02_003643	chr02	43345727	43.345727
m02_003644	chr02	43353642	43.353642
m02_003645	chr02	43372343	43.372343
m02_003646	chr02	43389803	43.389803
m02_003647	chr02	43392611	43.392611
m02_003648	chr02	43409905	43.409905
m02_003649	chr02	43426838	43.426838
m02_003650	chr02	43427533	43.427533
m02_003651	chr02	43430344	43.430344
m02_003652	chr02	43436253	43.436253
m02_003653	chr02	43442868	43.442868
m02_003654	chr02	43443394	43.443394
m02_003655	chr02	43475403	43.475403
m02_003656	chr02	43476419	43.476419
m02_003657	chr02	43488136	43.488136
m02_003658	chr02	43491754	43.491754
m02_003659	chr02	43501060	43.50106
m02_003660	chr02	43501070	43.50107
m02_003661	chr02	43503041	43.503041
m02_003662	chr02	43521983	43.521983
m02_003663	chr02	43527170	43.52717
m02_003664	chr02	43541239	43.541239
m02_003665	chr02	43588631	43.588631
m02_003666	chr02	43593270	43.59327
m02_003667	chr02	43616202	43.616202
m02_003668	chr02	43632203	43.632203
m02_003669	chr02	43636282	43.636282
m02_003670	chr02	43679612	43.679612
m02_003671	chr02	43691430	43.69143
m02_003672	chr02	43695251	43.695251
m02_003673	chr02	43739326	43.739326
m02_003674	chr02	43739907	43.739907
m02_003675	chr02	43750606	43.750606
m02_003676	chr02	43776974	43.776974
m02_003677	chr02	43784368	43.784368
m02_003678	chr02	43792003	43.792003
m02_003679	chr02	43804625	43.804625
m02_003680	chr02	43813811	43.813811
m02_003681	chr02	43824207	43.824207
m02_003682	chr02	43835116	43.835116
m02_003683	chr02	43839746	43.839746
m02_003684	chr02	43849389	43.849389
m02_003685	chr02	43849460	43.84946
m02_003686	chr02	43857052	43.857052
m02_003687	chr02	43864665	43.864665
m02_003688	chr02	43897704	43.897704
m02_003689	chr02	43910193	43.910193
m02_003690	chr02	43924621	43.924621
m02_003691	chr02	43937246	43.937246
m02_003692	chr02	43941020	43.94102
m02_003693	chr02	43941346	43.941346
m02_003694	chr02	43943908	43.943908
m02_003695	chr02	43983741	43.983741
m02_003696	chr02	44001869	44.001869
m02_003697	chr02	44003024	44.003024
m02_003698	chr02	44024486	44.024486
m02_003699	chr02	44038184	44.038184
m02_003700	chr02	44038494	44.038494
m02_003701	chr02	44047165	44.047165
m02_003702	chr02	44065627	44.065627
m02_003703	chr02	44112589	44.112589
m02_003704	chr02	44116384	44.116384
m02_003705	chr02	44117196	44.117196
m02_003706	chr02	44120048	44.120048
m02_003707	chr02	44120490	44.12049
m02_003708	chr02	44122063	44.122063
m02_003709	chr02	44130707	44.130707
m02_003710	chr02	44146955	44.146955
m02_003711	chr02	44154456	44.154456
m02_003712	chr02	44158356	44.158356
m02_003713	chr02	44167106	44.167106
m02_003714	chr02	44173976	44.173976
m02_003715	chr02	44198984	44.198984
m02_003716	chr02	44230843	44.230843
m02_003717	chr02	44237559	44.237559
m02_003718	chr02	44244269	44.244269
m02_003719	chr02	44276037	44.276037
m02_003720	chr02	44298675	44.298675
m02_003721	chr02	44335570	44.33557
m02_003722	chr02	44352947	44.352947
m02_003723	chr02	44380389	44.380389
m02_003724	chr02	44398906	44.398906
m02_003725	chr02	44399195	44.399195
m02_003726	chr02	44405159	44.405159
m02_003727	chr02	44408243	44.408243
m02_003728	chr02	44411546	44.411546
m02_003729	chr02	44412042	44.412042
m02_003730	chr02	44419552	44.419552
m02_003731	chr02	44434067	44.434067
m02_003732	chr02	44442049	44.442049
m02_003733	chr02	44445383	44.445383
m02_003734	chr02	44445805	44.445805
m02_003735	chr02	44448985	44.448985
m02_003736	chr02	44459502	44.459502
m02_003737	chr02	44499519	44.499519
m02_003738	chr02	44516138	44.516138
m02_003739	chr02	44537942	44.537942
m02_003740	chr02	44538410	44.53841
m02_003741	chr02	44544054	44.544054
m02_003742	chr02	44544365	44.544365
m02_003743	chr02	44548469	44.548469
m02_003744	chr02	44561712	44.561712
m02_003745	chr02	44574329	44.574329
m02_003746	chr02	44587269	44.587269
m02_003747	chr02	44589499	44.589499
m02_003748	chr02	44607040	44.60704
m02_003749	chr02	44608252	44.608252
m02_003750	chr02	44614942	44.614942
m02_003751	chr02	44618906	44.618906
m02_003752	chr02	44626374	44.626374
m02_003753	chr02	44627490	44.62749
m02_003754	chr02	44627664	44.627664
m02_003755	chr02	44631340	44.63134
m02_003756	chr02	44634367	44.634367
m02_003757	chr02	44650212	44.650212
m02_003758	chr02	44666917	44.666917
m02_003759	chr02	44670704	44.670704
m02_003760	chr02	44670716	44.670716
m02_003761	chr02	44703437	44.703437
m02_003762	chr02	44757780	44.75778
m02_003763	chr02	44759622	44.759622
m02_003764	chr02	44768378	44.768378
m02_003765	chr02	44768581	44.768581
m02_003766	chr02	44782014	44.782014
m02_003767	chr02	44799740	44.79974
m02_003768	chr02	44806816	44.806816
m02_003769	chr02	44814242	44.814242
m02_003770	chr02	44820612	44.820612
m02_003771	chr02	44847790	44.84779
m02_003772	chr02	44852873	44.852873
m02_003773	chr02	44887338	44.887338
m02_003774	chr02	44908031	44.908031
m02_003775	chr02	44932370	44.93237
m02_003776	chr02	44932801	44.932801
m02_003777	chr02	44942624	44.942624
m02_003778	chr02	44944055	44.944055
m02_003779	chr02	44945332	44.945332
m02_003780	chr02	44965006	44.965006
m02_003781	chr02	44971433	44.971433
m02_003782	chr02	44993717	44.993717
m02_003783	chr02	44995465	44.995465
m02_003784	chr02	45013861	45.013861
m02_003785	chr02	45041660	45.04166
m02_003786	chr02	45046610	45.04661
m02_003787	chr02	45051339	45.051339
m02_003788	chr02	45053608	45.053608
m02_003789	chr02	45059684	45.059684
m02_003790	chr02	45064212	45.064212
m02_003791	chr02	45070689	45.070689
m02_003792	chr02	45074516	45.074516
m02_003793	chr02	45078311	45.078311
m02_003794	chr02	45078999	45.078999
m02_003795	chr02	45097288	45.097288
m02_003796	chr02	45105749	45.105749
m02_003797	chr02	45109467	45.109467
m02_003798	chr02	45120150	45.12015
m02_003799	chr02	45140686	45.140686
m02_003800	chr02	45142619	45.142619
m02_003801	chr02	45154814	45.154814
m02_003802	chr02	45158180	45.15818
m02_003803	chr02	45166656	45.166656
m02_003804	chr02	45182335	45.182335
m02_003805	chr02	45188951	45.188951
m02_003806	chr02	45206209	45.206209
m02_003807	chr02	45225709	45.225709
m02_003808	chr02	45238719	45.238719
m02_003809	chr02	45280247	45.280247
m02_003810	chr02	45295724	45.295724
m02_003811	chr02	45346024	45.346024
m02_003812	chr02	45372490	45.37249
m02_003813	chr02	45374435	45.374435
m02_003814	chr02	45401840	45.40184
m02_003815	chr02	45408445	45.408445
m02_003816	chr02	45428079	45.428079
m02_003817	chr02	45429168	45.429168
m02_003818	chr02	45438170	45.43817
m02_003819	chr02	45448074	45.448074
m02_003820	chr02	45449842	45.449842
m02_003821	chr02	45471187	45.471187
m02_003822	chr02	45477846	45.477846
m02_003823	chr02	45499493	45.499493
m02_003824	chr02	45504247	45.504247
m02_003825	chr02	45509644	45.509644
m02_003826	chr02	45518745	45.518745
m02_003827	chr02	45540500	45.5405
m02_003828	chr02	45554771	45.554771
m02_003829	chr02	45555537	45.555537
m02_003830	chr02	45572414	45.572414
m02_003831	chr02	45578162	45.578162
m02_003832	chr02	45594908	45.594908
m02_003833	chr02	45596360	45.59636
m02_003834	chr02	45609866	45.609866
m02_003835	chr02	45620057	45.620057
m02_003836	chr02	45620535	45.620535
m02_003837	chr02	45644038	45.644038
m02_003838	chr02	45651674	45.651674
m02_003839	chr02	45655613	45.655613
m02_003840	chr02	45662706	45.662706
m02_003841	chr02	45678354	45.678354
m02_003842	chr02	45696049	45.696049
m02_003843	chr02	45705720	45.70572
m02_003844	chr02	45710947	45.710947
m02_003845	chr02	45725464	45.725464
m02_003846	chr02	45726808	45.726808
m02_003847	chr02	45732693	45.732693
m02_003848	chr02	45743562	45.743562
m02_003849	chr02	45748496	45.748496
m02_003850	chr02	45755077	45.755077
m02_003851	chr02	45768292	45.768292
m02_003852	chr02	45792126	45.792126
m02_003853	chr02	45809751	45.809751
m02_003854	chr02	45817051	45.817051
m02_003855	chr02	45836193	45.836193
m02_003856	chr02	45836985	45.836985
m02_003857	chr02	45854093	45.854093
m02_003858	chr02	45869780	45.86978
m02_003859	chr02	45938884	45.938884
m02_003860	chr02	46004847	46.004847
m02_003861	chr02	46008677	46.008677
m02_003862	chr02	46013095	46.013095
m02_003863	chr02	46016298	46.016298
m02_003864	chr02	46027597	46.027597
m02_003865	chr02	46041215	46.041215
m02_003866	chr02	46052271	46.052271
m02_003867	chr02	46056729	46.056729
m02_003868	chr02	46064377	46.064377
m02_003869	chr02	46072138	46.072138
m02_003870	chr02	46077920	46.07792
m02_003871	chr02	46078162	46.078162
m02_003872	chr02	46081420	46.08142
m02_003873	chr02	46090657	46.090657
m02_003874	chr02	46091777	46.091777
m02_003875	chr02	46096481	46.096481
m02_003876	chr02	46100990	46.10099
m02_003877	chr02	46103034	46.103034
m02_003878	chr02	46108945	46.108945
m02_003879	chr02	46115351	46.115351
m02_003880	chr02	46131619	46.131619
m02_003881	chr02	46185008	46.185008
m02_003882	chr02	46194171	46.194171
m02_003883	chr02	46214032	46.214032
m02_003884	chr02	46227096	46.227096
m02_003885	chr02	46246566	46.246566
m02_003886	chr02	46247967	46.247967
m02_003887	chr02	46249985	46.249985
m02_003888	chr02	46276479	46.276479
m02_003889	chr02	46286664	46.286664
m02_003890	chr02	46291208	46.291208
m02_003891	chr02	46293039	46.293039
m02_003892	chr02	46339894	46.339894
m02_003893	chr02	46353480	46.35348
m02_003894	chr02	46401429	46.401429
m02_003895	chr02	46405535	46.405535
m02_003896	chr02	46418705	46.418705
m02_003897	chr02	46429601	46.429601
m02_003898	chr02	46440500	46.4405
m02_003899	chr02	46442812	46.442812
m02_003900	chr02	46443885	46.443885
m02_003901	chr02	46446114	46.446114
m02_003902	chr02	46456112	46.456112
m02_003903	chr02	46501321	46.501321
m02_003904	chr02	46518502	46.518502
m02_003905	chr02	46537470	46.53747
m02_003906	chr02	46538723	46.538723
m02_003907	chr02	46540113	46.540113
m02_003908	chr02	46560367	46.560367
m02_003909	chr02	46573215	46.573215
m02_003910	chr02	46583670	46.58367
m02_003911	chr02	46600150	46.60015
m02_003912	chr02	46608081	46.608081
m02_003913	chr02	46615886	46.615886
m02_003914	chr02	46618312	46.618312
m02_003915	chr02	46627065	46.627065
m02_003916	chr02	46628622	46.628622
m02_003917	chr02	46650144	46.650144
m02_003918	chr02	46660752	46.660752
m02_003919	chr02	46676152	46.676152
m02_003920	chr02	46705320	46.70532
m02_003921	chr02	46710854	46.710854
m02_003922	chr02	46715173	46.715173
m02_003923	chr02	46718937	46.718937
m02_003924	chr02	46725133	46.725133
m02_003925	chr02	46734639	46.734639
m02_003926	chr02	46738294	46.738294
m02_003927	chr02	46758987	46.758987
m02_003928	chr02	46769109	46.769109
m02_003929	chr02	46775502	46.775502
m02_003930	chr02	46792465	46.792465
m02_003931	chr02	46801710	46.80171
m02_003932	chr02	46816352	46.816352
m02_003933	chr02	46820574	46.820574
m02_003934	chr02	46829651	46.829651
m02_003935	chr02	46843783	46.843783
m02_003936	chr02	46849270	46.84927
m02_003937	chr02	46849893	46.849893
m02_003938	chr02	46874483	46.874483
m02_003939	chr02	46878271	46.878271
m02_003940	chr02	46906112	46.906112
m02_003941	chr02	46907264	46.907264
m02_003942	chr02	46917417	46.917417
m02_003943	chr02	46964796	46.964796
m02_003944	chr02	46968633	46.968633
m02_003945	chr02	46968661	46.968661
m02_003946	chr02	46969716	46.969716
m02_003947	chr02	46969767	46.969767
m02_003948	chr02	47007179	47.007179
m02_003949	chr02	47034770	47.03477
m02_003950	chr02	47053698	47.053698
m02_003951	chr02	47083286	47.083286
m02_003952	chr02	47084574	47.084574
m02_003953	chr02	47096773	47.096773
m02_003954	chr02	47099464	47.099464
m02_003955	chr02	47135725	47.135725
m02_003956	chr02	47151382	47.151382
m02_003957	chr02	47167517	47.167517
m02_003958	chr02	47179350	47.17935
m02_003959	chr02	47210152	47.210152
m02_003960	chr02	47212851	47.212851
m02_003961	chr02	47217925	47.217925
m02_003962	chr02	47254142	47.254142
m02_003963	chr02	47278980	47.27898
m02_003964	chr02	47282780	47.28278
m02_003965	chr02	47286786	47.286786
m02_003966	chr02	47293020	47.29302
m02_003967	chr02	47293585	47.293585
m02_003968	chr02	47303181	47.303181
m02_003969	chr02	47310118	47.310118
m02_003970	chr02	47315961	47.315961
m02_003971	chr02	47323157	47.323157
m02_003972	chr02	47339777	47.339777
m02_003973	chr02	47345791	47.345791
m02_003974	chr02	47348660	47.34866
m02_003975	chr02	47362301	47.362301
m02_003976	chr02	47379885	47.379885
m02_003977	chr02	47415159	47.415159
m02_003978	chr02	47448896	47.448896
m02_003979	chr02	47449627	47.449627
m02_003980	chr02	47465493	47.465493
m02_003981	chr02	47475575	47.475575
m02_003982	chr02	47508663	47.508663
m02_003983	chr02	47521461	47.521461
m02_003984	chr02	47521487	47.521487
m02_003985	chr02	47528516	47.528516
m02_003986	chr02	47554460	47.55446
m02_003987	chr02	47579175	47.579175
m02_003988	chr02	47587983	47.587983
m02_003989	chr02	47588329	47.588329
m02_003990	chr02	47624950	47.62495
m02_003991	chr02	47627823	47.627823
m02_003992	chr02	47637183	47.637183
m02_003993	chr02	47644368	47.644368
m02_003994	chr02	47657431	47.657431
m02_003995	chr02	47683926	47.683926
m02_003996	chr02	47688860	47.68886
m02_003997	chr02	47692928	47.692928
m02_003998	chr02	47698931	47.698931
m02_003999	chr02	47703928	47.703928
m02_004000	chr02	47723668	47.723668
m02_004001	chr02	47725986	47.725986
m02_004002	chr02	47741412	47.741412
m02_004003	chr02	47747271	47.747271
m02_004004	chr02	47771614	47.771614
m02_004005	chr02	47798239	47.798239
m02_004006	chr02	47801196	47.801196
m02_004007	chr02	47804053	47.804053
m02_004008	chr02	47820595	47.820595
m02_004009	chr02	47827888	47.827888
m02_004010	chr02	47835799	47.835799
m02_004011	chr02	47840730	47.84073
m02_004012	chr02	47845411	47.845411
m02_004013	chr02	47885272	47.885272
m02_004014	chr02	47887668	47.887668
m02_004015	chr02	47890076	47.890076
m02_004016	chr02	47902993	47.902993
m02_004017	chr02	47934807	47.934807
m02_004018	chr02	47959451	47.959451
m02_004019	chr02	47993574	47.993574
m02_004020	chr02	48014035	48.014035
m02_004021	chr02	48020049	48.020049
m02_004022	chr02	48038107	48.038107
m02_004023	chr02	48048745	48.048745
m02_004024	chr02	48055088	48.055088
m02_004025	chr02	48064854	48.064854
m02_004026	chr02	48065129	48.065129
m02_004027	chr02	48118923	48.118923
m02_004028	chr02	48140059	48.140059
m02_004029	chr02	48142934	48.142934
m02_004030	chr02	48156664	48.156664
m02_004031	chr02	48163136	48.163136
m02_004032	chr02	48164730	48.16473
m02_004033	chr02	48164864	48.164864
m02_004034	chr02	48181176	48.181176
m02_004035	chr02	48183064	48.183064
m02_004036	chr02	48204363	48.204363
m02_004037	chr02	48206549	48.206549
m02_004038	chr02	48233042	48.233042
m02_004039	chr02	48236751	48.236751
m02_004040	chr02	48301869	48.301869
m02_004041	chr02	48303710	48.30371
m02_004042	chr02	48320155	48.320155
m02_004043	chr02	48341969	48.341969
m02_004044	chr02	48342216	48.342216
m02_004045	chr02	48348132	48.348132
m02_004046	chr02	48377815	48.377815
m02_004047	chr02	48394169	48.394169
m02_004048	chr02	48418370	48.41837
m02_004049	chr02	48434864	48.434864
m02_004050	chr02	48458022	48.458022
m02_004051	chr02	48476249	48.476249
m02_004052	chr02	48484901	48.484901
m02_004053	chr02	48525265	48.525265
m02_004054	chr02	48529585	48.529585
m02_004055	chr02	48533274	48.533274
m02_004056	chr02	48540359	48.540359
m02_004057	chr02	48549100	48.5491
m02_004058	chr02	48571465	48.571465
m02_004059	chr02	48574065	48.574065
m02_004060	chr02	48577380	48.57738
m02_004061	chr02	48615431	48.615431
m02_004062	chr02	48617335	48.617335
m02_004063	chr02	48646641	48.646641
m02_004064	chr02	48657318	48.657318
m02_004065	chr02	48669964	48.669964
m02_004066	chr02	48677374	48.677374
m02_004067	chr02	48683488	48.683488
m02_004068	chr02	48717059	48.717059
m02_004069	chr02	48724062	48.724062
m02_004070	chr02	48733507	48.733507
m02_004071	chr02	48739200	48.7392
m02_004072	chr02	48747729	48.747729
m02_004073	chr02	48749105	48.749105
m02_004074	chr02	48752984	48.752984
m02_004075	chr02	48760980	48.76098
m02_004076	chr02	48778215	48.778215
m02_004077	chr02	48798908	48.798908
m02_004078	chr02	48839924	48.839924
m02_004079	chr02	48855828	48.855828
m02_004080	chr02	48878240	48.87824
m02_004081	chr02	48885013	48.885013
m02_004082	chr02	48896134	48.896134
m02_004083	chr02	48899952	48.899952
m02_004084	chr02	48908726	48.908726
m02_004085	chr02	48919184	48.919184
m02_004086	chr02	48948427	48.948427
m02_004087	chr02	48985280	48.98528
m02_004088	chr02	49000395	49.000395
m02_004089	chr02	49002112	49.002112
m02_004090	chr02	49032714	49.032714
m02_004091	chr02	49043534	49.043534
m02_004092	chr02	49044646	49.044646
m02_004093	chr02	49074947	49.074947
m02_004094	chr02	49115092	49.115092
m02_004095	chr02	49119539	49.119539
m02_004096	chr02	49133076	49.133076
m02_004097	chr02	49134676	49.134676
m02_004098	chr02	49135277	49.135277
m02_004099	chr02	49136724	49.136724
m02_004100	chr02	49148297	49.148297
m02_004101	chr02	49181729	49.181729
m02_004102	chr02	49182192	49.182192
m02_004103	chr02	49212800	49.2128
m02_004104	chr02	49226906	49.226906
m02_004105	chr02	49247242	49.247242
m02_004106	chr02	49271002	49.271002
m02_004107	chr02	49272554	49.272554
m02_004108	chr02	49285712	49.285712
m02_004109	chr02	49300990	49.30099
m02_004110	chr02	49305435	49.305435
m02_004111	chr02	49317342	49.317342
m02_004112	chr02	49320263	49.320263
m02_004113	chr02	49324017	49.324017
m02_004114	chr02	49329339	49.329339
m02_004115	chr02	49334852	49.334852
m02_004116	chr02	49347224	49.347224
m02_004117	chr02	49355113	49.355113
m02_004118	chr02	49355168	49.355168
m02_004119	chr02	49390642	49.390642
m02_004120	chr02	49418076	49.418076
m02_004121	chr02	49434148	49.434148
m02_004122	chr02	49434332	49.434332
m02_004123	chr02	49435204	49.435204
m02_004124	chr02	49457962	49.457962
m02_004125	chr02	49460442	49.460442
m02_004126	chr02	49476878	49.476878
m02_004127	chr02	49503036	49.503036
m02_004128	chr02	49510657	49.510657
m02_004129	chr02	49517206	49.517206
m02_004130	chr02	49551418	49.551418
m02_004131	chr02	49557848	49.557848
m02_004132	chr02	49558820	49.55882
m02_004133	chr02	49560560	49.56056
m02_004134	chr02	49623937	49.623937
m02_004135	chr02	49624376	49.624376
m02_004136	chr02	49653175	49.653175
m02_004137	chr02	49665415	49.665415
